PERIODO;ID PROVINCIA;PROVINCIA;ID DEPARTAMENTO;DEPARTAMENTO;HUERTAS FAMILIARES;HUERTAS ESCOLARES;HUERTAS COMUNITARIAS E INSTITUCIONALES
2019-02-01;06;BUENOS AIRES;06854;25 DE MAYO;988;44;3
2019-02-01;06;BUENOS AIRES;06588;9 DE JULIO;0;13;0
2019-02-01;06;BUENOS AIRES;06007;ADOLFO ALSINA;333;32;12
2019-02-01;06;BUENOS AIRES;06014;ADOLFO GONZALES CHAVES;197;13;1
2019-02-01;06;BUENOS AIRES;06021;ALBERTI;318;16;0
2019-02-01;06;BUENOS AIRES;06077;ARRECIFES;101;1;7
2019-02-01;06;BUENOS AIRES;06042;AYACUCHO;183;6;2
2019-02-01;06;BUENOS AIRES;06049;AZUL;1219;30;20
2019-02-01;06;BUENOS AIRES;06056;BAHIA BLANCA;589;18;16
2019-02-01;06;BUENOS AIRES;06063;BALCARCE;646;25;15
2019-02-01;06;BUENOS AIRES;06070;BARADERO;581;45;18
2019-02-01;06;BUENOS AIRES;06084;BENITO JUAREZ;381;14;8
2019-02-01;06;BUENOS AIRES;06098;BERISSO;2432;32;31
2019-02-01;06;BUENOS AIRES;06105;BOLIVAR;696;11;5
2019-02-01;06;BUENOS AIRES;06112;BRAGADO;902;44;4
2019-02-01;06;BUENOS AIRES;06119;BRANDSEN;851;15;8
2019-02-01;06;BUENOS AIRES;06126;CAMPANA;449;32;7
2019-02-01;06;BUENOS AIRES;06134;CAÑUELAS;853;2;0
2019-02-01;06;BUENOS AIRES;06140;CAPITAN SARMIENTO;18;5;3
2019-02-01;06;BUENOS AIRES;06147;CARLOS CASARES;875;28;1
2019-02-01;06;BUENOS AIRES;06154;CARLOS TEJEDOR;456;15;1
2019-02-01;06;BUENOS AIRES;06161;CARMEN DE ARECO;359;15;20
2019-02-01;06;BUENOS AIRES;06168;CASTELLI;406;0;2
2019-02-01;06;BUENOS AIRES;06210;CHACABUCO;716;17;15
2019-02-01;06;BUENOS AIRES;06217;CHASCOMUS;637;13;5
2019-02-01;06;BUENOS AIRES;06002;CHIVILCOY;1606;45;20
2019-02-01;06;BUENOS AIRES;06175;COLON;420;10;1
2019-02-01;06;BUENOS AIRES;06182;CORONEL DE MARINA L ROSALES;249;8;10
2019-02-01;06;BUENOS AIRES;06189;CORONEL DORREGO;219;7;5
2019-02-01;06;BUENOS AIRES;06196;CORONEL PRINGLES;339;11;4
2019-02-01;06;BUENOS AIRES;06203;CORONEL SUAREZ;533;42;5
2019-02-01;06;BUENOS AIRES;06231;DAIREAUX;468;13;7
2019-02-01;06;BUENOS AIRES;06245;ENSENADA;457;11;0
2019-02-01;06;BUENOS AIRES;06252;ESCOBAR;628;31;3
2019-02-01;06;BUENOS AIRES;06260;ESTEBAN ECHEVERRIA;1611;4;1
2019-02-01;06;BUENOS AIRES;06266;EXALTACION DE LA CRUZ;452;11;1
2019-02-01;06;BUENOS AIRES;06270;EZEIZA;2713;1;0
2019-02-01;06;BUENOS AIRES;06274;FLORENCIO VARELA;529;21;84
2019-02-01;06;BUENOS AIRES;06277;FLORENTINO AMEGHINO;172;8;1
2019-02-01;06;BUENOS AIRES;06280;GENERAL ALVARADO;693;41;2
2019-02-01;06;BUENOS AIRES;06287;GENERAL ALVEAR;288;4;5
2019-02-01;06;BUENOS AIRES;06294;GENERAL ARENALES;76;3;1
2019-02-01;06;BUENOS AIRES;06301;GENERAL BELGRANO;428;12;7
2019-02-01;06;BUENOS AIRES;06308;GENERAL GUIDO;92;3;0
2019-02-01;06;BUENOS AIRES;06315;GENERAL JUAN MADARIAGA;453;8;4
2019-02-01;06;BUENOS AIRES;06322;GENERAL LA MADRID;435;13;2
2019-02-01;06;BUENOS AIRES;06329;GENERAL LAS HERAS;0;1;0
2019-02-01;06;BUENOS AIRES;06336;GENERAL LAVALLE;170;5;0
2019-02-01;06;BUENOS AIRES;06343;GENERAL PAZ;0;11;0
2019-02-01;06;BUENOS AIRES;06351;GENERAL PINTO;160;5;5
2019-02-01;06;BUENOS AIRES;06357;GENERAL PUEYRREDON;2589;48;41
2019-02-01;06;BUENOS AIRES;06364;GENERAL RODRIGUEZ;1135;5;0
2019-02-01;06;BUENOS AIRES;06371;GENERAL SAN MARTIN;954;28;12
2019-02-01;06;BUENOS AIRES;06385;GENERAL VIAMONTE;386;18;1
2019-02-01;06;BUENOS AIRES;06392;GENERAL VILLEGAS;1543;53;5
2019-02-01;06;BUENOS AIRES;06399;GUAMINI;598;40;2
2019-02-01;06;BUENOS AIRES;06406;HIPOLITO YRIGOYEN;179;7;1
2019-02-01;06;BUENOS AIRES;06408;HURLINGHAM;710;0;0
2019-02-01;06;BUENOS AIRES;06410;ITUZAINGO;2109;0;0
2019-02-01;06;BUENOS AIRES;06412;JOSE C PAZ;1016;19;31
2019-02-01;06;BUENOS AIRES;06413;JUNIN;0;23;0
2019-02-01;06;BUENOS AIRES;06420;LA COSTA;567;25;12
2019-02-01;06;BUENOS AIRES;06427;LA MATANZA;1740;24;7
2019-02-01;06;BUENOS AIRES;06441;LA PLATA;1660;38;153
2019-02-01;06;BUENOS AIRES;06448;LAPRIDA;208;11;0
2019-02-01;06;BUENOS AIRES;06455;LAS FLORES;179;7;11
2019-02-01;06;BUENOS AIRES;06462;LEANDRO N ALEM;160;11;0
2019-02-01;06;BUENOS AIRES;06466;LEZAMA;213;3;1
2019-02-01;06;BUENOS AIRES;06469;LINCOLN;1591;30;15
2019-02-01;06;BUENOS AIRES;06476;LOBERIA;385;20;7
2019-02-01;06;BUENOS AIRES;06483;LOBOS;1673;22;5
2019-02-01;06;BUENOS AIRES;06497;LUJAN;1050;17;0
2019-02-01;06;BUENOS AIRES;06505;MAGDALENA;368;14;5
2019-02-01;06;BUENOS AIRES;06511;MAIPU;400;14;3
2019-02-01;06;BUENOS AIRES;06515;MALVINAS ARGENTINAS;385;19;17
2019-02-01;06;BUENOS AIRES;06518;MAR CHIQUITA;479;21;4
2019-02-01;06;BUENOS AIRES;06525;MARCOS PAZ;0;30;0
2019-02-01;06;BUENOS AIRES;06532;MERCEDES;990;23;0
2019-02-01;06;BUENOS AIRES;06539;MERLO;1564;5;3
2019-02-01;06;BUENOS AIRES;06547;MONTE;0;13;0
2019-02-01;06;BUENOS AIRES;06560;MORENO;3312;8;0
2019-02-01;06;BUENOS AIRES;06568;MORON;1241;26;1
2019-02-01;06;BUENOS AIRES;06574;NAVARRO;449;16;4
2019-02-01;06;BUENOS AIRES;06581;NECOCHEA;577;18;8
2019-02-01;06;BUENOS AIRES;06595;OLAVARRIA;834;20;27
2019-02-01;06;BUENOS AIRES;06602;PATAGONES;697;25;8
2019-02-01;06;BUENOS AIRES;06609;PEHUAJO;1229;42;1
2019-02-01;06;BUENOS AIRES;06616;PELLEGRINI;243;9;0
2019-02-01;06;BUENOS AIRES;06623;PERGAMINO;1671;30;1314
2019-02-01;06;BUENOS AIRES;06630;PILA;189;10;1
2019-02-01;06;BUENOS AIRES;06638;PILAR;1103;30;0
2019-02-01;06;BUENOS AIRES;06644;PINAMAR;243;9;6
2019-02-01;06;BUENOS AIRES;06648;PRESIDENTE PERON;1310;0;0
2019-02-01;06;BUENOS AIRES;06651;PUAN;175;14;9
2019-02-01;06;BUENOS AIRES;06655;PUNTA INDIO;421;11;6
2019-02-01;06;BUENOS AIRES;06665;RAMALLO;883;22;7
2019-02-01;06;BUENOS AIRES;06672;RAUCH;324;12;5
2019-02-01;06;BUENOS AIRES;06679;RIVADAVIA;436;12;8
2019-02-01;06;BUENOS AIRES;06686;ROJAS;693;18;0
2019-02-01;06;BUENOS AIRES;06693;ROQUE PEREZ;0;8;0
2019-02-01;06;BUENOS AIRES;06700;SAAVEDRA;385;19;10
2019-02-01;06;BUENOS AIRES;06707;SALADILLO;502;7;2
2019-02-01;06;BUENOS AIRES;06721;SALLIQUELO;200;6;3
2019-02-01;06;BUENOS AIRES;06714;SALTO;29;10;1
2019-02-01;06;BUENOS AIRES;06749;SAN FERNANDO;1655;14;2
2019-02-01;06;BUENOS AIRES;06728;SAN ANDRES DE GILES;507;33;5
2019-02-01;06;BUENOS AIRES;06735;SAN ANTONIO DE ARECO;0;12;0
2019-02-01;06;BUENOS AIRES;06742;SAN CAYETANO;192;7;1
2019-02-01;06;BUENOS AIRES;06756;SAN ISIDRO;1107;1;28
